data,id_treballador,hora,posicio,clasificador,familia
2025-04-24,48,7:00,Inducciones mesa 2,2,1
2025-04-24,48,8:00,Inducciones mesa 2,2,1
2025-04-24,48,9:00,Sequence 3,3,6
2025-04-24,52,10:00,Inducciones mesa 1,2,1
2025-04-24,52,11:00,Inducciones mesa 1,2,1
2025-04-24,52,12:00,Inducciones mesa 2,2,1
2025-04-24,52,13:00,Inducciones mesa 2,2,1
2025-04-24,52,6:00,Inducciones mesa 2,2,1
2025-04-24,52,7:00,Inducciones mesa 1,2,1
2025-04-24,52,8:00,Inducciones mesa 2,2,1
2025-04-24,52,9:00,Inducciones mesa 2,2,1
2025-04-24,54,10:00,Inducciones mesa 1,2,1
2025-04-24,54,11:00,Inducciones mesa 1,2,1
2025-04-24,54,12:00,Inducciones mesa 1,2,1
2025-04-24,54,13:00,Inducciones mesa 1,2,1
2025-04-24,54,6:00,Inducciones mesa 2,2,1
2025-04-24,54,7:00,Inducciones mesa 1,2,1
2025-04-24,54,8:00,Destinos mesa 11,2,2
2025-04-24,54,9:00,Inducciones mesa 2,2,1
2025-04-24,60,10:00,Inducciones mesa 1,2,1
2025-04-24,60,11:00,Inducciones mesa 2,2,1
2025-04-24,60,12:00,Inducciones mesa 1,2,1
2025-04-24,60,13:00,Destinos mesa 9,3,2
2025-04-24,60,6:00,Inducciones mesa 1,2,1
2025-04-24,60,7:00,Inducciones mesa 1,2,1
2025-04-24,60,8:00,Inducciones mesa 1,2,1
2025-04-24,60,9:00,Inducciones mesa 1,2,1
2025-04-24,65,10:00,Inducciones mesa 1,2,1
2025-04-24,65,11:00,Inducciones mesa 1,2,1
2025-04-24,65,12:00,Inducciones mesa 2,2,1
2025-04-24,65,13:00,Inducciones mesa 2,2,1
2025-04-24,65,6:00,Inducciones mesa 1,2,1
2025-04-24,65,7:00,Chequeo,2,3
2025-04-24,65,8:00,Inducciones mesa 1,2,1
2025-04-24,65,9:00,Inducciones mesa 2,2,1
2025-04-24,68,10:00,Inducciones mesa 1,2,1
2025-04-24,68,11:00,Inducciones mesa 1,2,1
2025-04-24,68,12:00,Inducciones mesa 1,2,1
2025-04-24,68,13:00,Inducciones mesa 2,2,1
2025-04-24,68,6:00,Inducciones mesa 1,2,1
2025-04-24,68,7:00,Inducciones mesa 2,2,1
2025-04-24,68,8:00,Inducciones mesa 1,2,1
2025-04-24,68,9:00,Inducciones mesa 2,2,1
2025-04-24,69,10:00,Inducciones mesa 1,2,1
2025-04-24,69,11:00,Inducciones mesa 2,2,1
2025-04-24,69,12:00,Inducciones mesa 1,2,1
2025-04-24,69,13:00,Inducciones mesa 2,2,1
2025-04-24,69,6:00,Inducciones mesa 1,2,1
2025-04-24,69,7:00,Inducciones mesa 2,2,1
2025-04-24,69,8:00,Inducciones mesa 1,2,1
2025-04-24,69,9:00,Rechazo,2,5
2025-04-24,70,10:00,Inducciones mesa 2,2,1
2025-04-24,70,11:00,Inducciones mesa 2,2,1
2025-04-24,70,12:00,Inducciones mesa 1,2,1
2025-04-24,70,13:00,Destinos mesa 19,2,2
2025-04-24,70,6:00,Inducciones mesa 1,2,1
2025-04-24,70,7:00,Inducciones mesa 1,2,1
2025-04-24,70,8:00,Inducciones mesa 2,2,1
2025-04-24,70,9:00,Inducciones mesa 19,2,1
2025-04-24,71,10:00,Inducciones mesa 2,2,1
2025-04-24,71,11:00,Inducciones mesa 1,2,1
2025-04-24,71,12:00,Inducciones mesa 19,2,1
2025-04-24,71,13:00,Precintadora shuttle,4,8
2025-04-24,71,6:00,Inducciones mesa 2,2,1
2025-04-24,71,7:00,Inducciones mesa 2,2,1
2025-04-24,71,8:00,Inducciones mesa 1,2,1
2025-04-24,71,9:00,Inducciones mesa 1,2,1
2025-04-24,72,10:00,Inducciones mesa 1,2,1
2025-04-24,72,11:00,Inducciones mesa 1,2,1
2025-04-24,72,12:00,Inducciones mesa 2,2,1
2025-04-24,72,13:00,Inducciones mesa 2,2,1
2025-04-24,72,6:00,Destinos mesa 5,3,2
2025-04-24,72,7:00,Inducciones mesa 1,2,1
2025-04-24,72,8:00,Inducciones mesa 1,2,1
2025-04-24,72,9:00,Inducciones mesa 1,2,1
2025-04-24,73,10:00,Inducciones mesa 1,2,1
2025-04-24,73,11:00,Rampas/cajas vacias,2,7
2025-04-24,73,12:00,Inducciones mesa 2,2,1
2025-04-24,73,13:00,Inducciones mesa 1,2,1
2025-04-24,73,6:00,Inducciones mesa 1,2,1
2025-04-24,73,7:00,Destinos mesa 19,2,2
2025-04-24,73,8:00,Inducciones mesa 1,2,1
